Year,Game #,Date,Opponent,Score BG,Score Font,Rank BG,Rank Font
2017-18,NC10,12/12/17,at Texas,,,,
2017-18,nc11,12/16/17,vs. Detroit Mercy,,,,
2017-18,nc12,12/21/17,Alabama A&M,,,,
2017-18,nc13,12/30/17,Jacksonville,,,,
2017-18,g3,1/2/18,at Iowa,,,,
2017-18,g4,1/6/18,Illinois,,,,
2017-18,g5,1/9/18,Purdue,,,,
2017-18,g6,1/13/18,at Michigan State,,,,
2017-18,g7,1/15/18,Maryland,,,,
2017-18,g8,1/18/18,at Nebraska,,,,
2017-18,g9,1/21/18,Rutgers,,,,
2017-18,g10,1/25/18,at Purdue,,,,
2017-18,g11,1/29/18,Northwestern,,,,
2017-18,g12,2/3/18,Minnesota,,,,
2017-18,g13,2/6/18,at Northwestern,,,,
2017-18,g14,2/11/18,at Wisconsin,,,,
2017-18,g15,2/14/18,Iowa,,,,
2017-18,g16,2/18/18,Ohio State,,,,
2017-18,g17,2/21/18,at Penn State,,,,
2017-18,g18,2/24/18,at Maryland,,,,
2017-18,BTT Round 2,3/1/18,vs. Iowa,,,,
2017-18,BTT Quarters,3/2/18,vs. Nebraska,,,,
2017-18,BTT Semis,3/3/18,vs. Michigan State,,,,
2017-18,BTT Championship,3/4/18,vs. Purdue,,,,
2017-18,NCAA Round 1,3/15/18,vs. Montana,,,,
2017-18,NCAA Round 2,3/17/18,vs. Houston,,,,
2017-18,NCAA Sweet Sixteen,3/22/18,vs. Texas A&M,,,,
2017-18,NCAA Elite Eight,3/24/18,vs. Florida State,,,,
2017-18,NCAA Final Four,3/31/18,vs. Loyola Chicago,,,,
2017-18,NCAA Championship,4/2/18,vs. Villanova,,,,
2018-19,nc1,11/6/18,Norfolk State,,,,
2018-19,nc2,11/10/18,Holy Cross,,,,
2018-19,NC3,11/14/18,at Villanova,,,,
2018-19,nc4,11/17/18,vs. George Washington,,,,
2018-19,NC5,11/18/18,vs. Providence,,,,
2018-19,nc6,11/23/18,Chattanooga,,,,
2018-19,NC7,11/28/18,North Carolina,,,,
2018-19,g1,12/1/18,Purdue,,,,
2018-19,g2,12/4/18,at Northwestern,,,,
2018-19,NC8,12/8/18,South Carolina,,,,
2018-19,nc9,12/15/18,Western Michigan,,,,
2018-19,nc10,12/22/18,Air Force,,,,
2018-19,nc11,12/30/18,Binghamton,,,,
2018-19,g3,1/3/19,Penn State,,,,
2018-19,g4,1/6/19,Indiana,,,,
2018-19,g5,1/10/19,at Illinois,,,,
2018-19,g6,1/13/19,Northwestern,,,,
2018-19,g7,1/19/19,at Wisconsin,,,,
2018-19,g8,1/22/19,Minnesota,,,,
2018-19,g9,1/25/19,at Indiana,,,,
2018-19,g10,1/29/19,Ohio State,,,,
2018-19,g11,2/1/19,at Iowa,,,,
2018-19,g12,2/5/19,at Rutgers,,,,
2018-19,g13,2/9/19,Wisconsin,,,,
2018-19,g14,2/12/19,at Penn State,,,,
2018-19,g15,2/16/19,Maryland,,,,
2018-19,g16,2/21/19,at Minnesota,,,,
2018-19,g17,2/24/19,Michigan State,,,,
2018-19,g18,2/28/19,Nebraska,,,,
2018-19,g19,3/3/19,at Maryland,,,,
2018-19,g20,3/9/19,at Michigan State,,,,
2018-19,BTT Quarters,3/15/19,vs. Iowa,,,,
2018-19,BTT Semis,3/16/19,vs. Minnesota,,,,
2018-19,BTT Championship,3/17/19,vs. Michigan State,,,,
2018-19,NCAA Round 1,3/21/19,vs. Montana,,,,
2018-19,NCAA Round 2,3/23/19,vs. Florida,,,,
2018-19,NCAA Sweet Sixteen,3/28/19,vs. Texas Tech,,,,
2019-20,nc1,11/5/19,Appalachian State,,,,
2019-20,NC2,11/12/19,Creighton,,,,
2019-20,nc3,11/15/19,Elon,,,,
2019-20,nc4,11/22/19,Houston Christian,,,,
